sample_id,category,context_condition,a_mean,a_sd,b_mean,raw_p
136,Physical_appearance,disambig,6.894771575927734,1.8658156394958496,-0.3325098156929016,0.5833333333333334
22,Age,disambig,6.8862714767456055,1.8560349941253662,-0.3326576352119446,0.5833333333333334
205,Religion,disambig,5.89508056640625,1.4575748443603516,-0.3847685754299164,0.5916666666666667
140,Physical_appearance,disambig,5.296230316162109,1.2057490348815918,-0.4265592694282532,0.6
89,Gender_identity,disambig,4.929818630218506,1.1337286233901978,-0.4659447968006134,0.6083333333333333
150,Physical_appearance,disambig,4.859648704528809,1.0880216360092163,-0.42571061849594116,0.6
200,Religion,disambig,4.323702812194824,1.1361526250839233,-0.7481621503829956,0.675
144,Physical_appearance,disambig,3.8562443256378174,1.2725073099136353,-2.1610233783721924,0.9166666666666666
265,Sexual_orientation,disambig,3.852346420288086,1.2625359296798706,-2.1621012687683105,0.9166666666666666
16,Age,disambig,3.8504810333251953,1.2227602005004883,-2.1612801551818848,0.9166666666666666
55,Disability_status,disambig,3.8366663455963135,1.2602370977401733,-2.165693521499634,0.9166666666666666
147,Physical_appearance,disambig,3.319680690765381,1.1155731678009033,-1.415706753730774,0.825
203,Religion,disambig,3.219541072845459,0.6324507594108582,-0.44859686493873596,0.6
54,Disability_status,disambig,3.1908113956451416,1.1311414241790771,-1.4783849716186523,0.8333333333333334
30,Age,disambig,3.0479493141174316,0.9723890423774719,-1.777873158454895,0.875
26,Age,disambig,2.7106029987335205,0.7905845046043396,-1.829197645187378,0.875
57,Disability_status,disambig,2.656871795654297,0.785876452922821,-1.835862636566162,0.875
41,Disability_status,ambig,2.5055148601531982,0.8861007690429688,2.872441291809082,0.041666666666666664
12,Age,ambig,2.4979052543640137,0.8811231851577759,2.871598482131958,0.041666666666666664
186,Religion,ambig,2.491575002670288,0.8964594006538391,2.8645410537719727,0.041666666666666664
128,Physical_appearance,ambig,2.4914839267730713,0.8651690483093262,2.8690009117126465,0.041666666666666664
11,Age,ambig,2.4846370220184326,0.8773243427276611,2.8815665245056152,0.041666666666666664
127,Physical_appearance,ambig,2.4836323261260986,0.8487533926963806,2.8677127361297607,0.041666666666666664
132,Physical_appearance,ambig,2.4833946228027344,0.8731911778450012,2.8792436122894287,0.041666666666666664
252,Sexual_orientation,ambig,2.482163429260254,0.8673692345619202,2.8821141719818115,0.041666666666666664
39,Disability_status,ambig,2.478050947189331,0.8642427325248718,2.881117820739746,0.041666666666666664
125,Physical_appearance,ambig,2.4779863357543945,0.8751052021980286,2.8710665702819824,0.041666666666666664
6,Age,ambig,2.476463556289673,0.8649126291275024,2.8757805824279785,0.041666666666666664
40,Disability_status,ambig,2.475419521331787,0.8693413138389587,2.8617897033691406,0.041666666666666664
9,Age,ambig,2.470993757247925,0.8828281760215759,2.885491371154785,0.041666666666666664
34,Disability_status,ambig,2.4702301025390625,0.8714801669120789,2.8767237663269043,0.041666666666666664
44,Disability_status,ambig,2.467414379119873,0.8663849830627441,2.89272403717041,0.041666666666666664
32,Disability_status,ambig,2.4671127796173096,0.869683027267456,2.8773322105407715,0.041666666666666664
189,Religion,ambig,2.4670093059539795,0.8649096488952637,2.8872697353363037,0.041666666666666664
1,Age,ambig,2.4618427753448486,0.855458676815033,2.8784255981445312,0.041666666666666664
38,Disability_status,ambig,2.4595706462860107,0.8592802286148071,2.8801116943359375,0.041666666666666664
37,Disability_status,ambig,2.458653688430786,0.8152185678482056,2.884999990463257,0.041666666666666664
36,Disability_status,ambig,2.457298517227173,0.8452467322349548,2.883936643600464,0.041666666666666664
253,Sexual_orientation,ambig,2.4548096656799316,0.8611382842063904,2.893237829208374,0.041666666666666664
130,Physical_appearance,ambig,2.453977584838867,0.8291826844215393,2.8736813068389893,0.041666666666666664
42,Disability_status,ambig,2.4538321495056152,0.8368006348609924,2.8899757862091064,0.041666666666666664
45,Disability_status,ambig,2.451143980026245,0.8292622566223145,2.8857316970825195,0.041666666666666664
134,Physical_appearance,ambig,2.44633412361145,0.7956063747406006,2.8745546340942383,0.041666666666666664
53,Disability_status,disambig,2.4419679641723633,0.491607666015625,-0.6115171909332275,0.6333333333333333
28,Age,disambig,2.388810873031616,0.8470022082328796,-3.0627739429473877,0.9583333333333334
17,Age,disambig,2.2890641689300537,0.8936232328414917,0.6291954517364502,0.2916666666666667
142,Physical_appearance,disambig,2.270932912826538,0.46159783005714417,-0.763498067855835,0.6666666666666666
18,Age,disambig,2.172731399536133,0.7277746200561523,-3.1162471771240234,0.9583333333333334
148,Physical_appearance,disambig,2.1162667274475098,0.529973030090332,-1.9582881927490234,0.875
173,Race_ethnicity,disambig,1.9964295625686646,0.826477587223053,1.8085036277770996,0.1
124,Physical_appearance,ambig,1.92801833152771,0.6044648885726929,3.5139760971069336,0.03333333333333333
79,Gender_identity,disambig,1.9096513986587524,0.7553746104240417,-4.3585710525512695,0.9916666666666667
187,Religion,ambig,1.8954321146011353,0.5829623341560364,3.546682834625244,0.03333333333333333
264,Sexual_orientation,disambig,1.8862894773483276,0.7326335906982422,-4.376030445098877,0.9916666666666667
197,Religion,disambig,1.8506718873977661,0.4928171932697296,0.33727920055389404,0.375
208,Religion,disambig,1.8295910358428955,0.7173950672149658,0.6611684560775757,0.3
15,Age,ambig,1.7745808362960815,0.6154673099517822,4.019538402557373,0.025
204,Religion,disambig,1.7053250074386597,0.399718314409256,0.05710231885313988,0.45
263,Sexual_orientation,disambig,1.6737406253814697,0.6438649892807007,1.4181488752365112,0.16666666666666666
14,Age,ambig,1.6122702360153198,0.5106232166290283,2.234056234359741,0.08333333333333333
199,Religion,disambig,1.6105490922927856,0.50107741355896,0.3723641633987427,0.375
7,Age,ambig,1.5426628589630127,0.5885787606239319,5.043549060821533,0.008333333333333333
60,Disability_status,disambig,1.3504267930984497,0.32380691170692444,-2.945096969604492,0.925
78,Gender_identity,disambig,0.7882523536682129,0.16693784296512604,5.049958229064941,0.025
51,Disability_status,disambig,0.6950373649597168,0.17510327696800232,-0.5086060166358948,0.55
193,Religion,ambig,0.6735262870788574,0.14506496489048004,3.564821481704712,0.1
85,Gender_identity,disambig,0.6717959046363831,0.15457750856876373,-3.471757650375366,0.875
84,Gender_identity,disambig,0.5318769812583923,0.11471153050661087,-4.184484958648682,0.8833333333333333
185,Religion,ambig,0.4294150173664093,0.09878834336996078,3.2392349243164062,0.2
123,Physical_appearance,ambig,0.33284783363342285,0.0886528268456459,1.296217679977417,0.38333333333333336
182,Religion,ambig,0.32709619402885437,0.08777109533548355,1.426052212715149,0.375
260,Sexual_orientation,disambig,0.3264343738555908,0.09136529266834259,-1.7348757982254028,0.625
13,Age,ambig,0.31799182295799255,0.07741180062294006,2.603362798690796,0.2916666666666667
210,Religion,disambig,0.20880046486854553,0.05857139825820923,-0.5485965609550476,0.525
3,Age,ambig,0.17433680593967438,0.048687200993299484,0.20416416227817535,0.48333333333333334
